Profile data exported by Multi Gauge

Image File : 20200812-221112-[Cy2]tif

	Lane Number
(pixel)	1	2	3	4	5	6	7	8	9	10	11
156.0000	22403.0000	20309.0000	27638.0000	66653.0000	101376.0000	122354.0000	77949.0000	43826.0000	26424.0000	23988.0000	23265.0000
157.0000	22146.0000	19818.0000	27595.0000	69227.0000	110496.0000	120917.0000	84194.0000	47965.0000	27656.0000	24794.0000	23714.0000
158.0000	21580.0000	19418.0000	26842.0000	67300.0000	108845.0000	108588.0000	85559.0000	49754.0000	28874.0000	25293.0000	23902.0000
159.0000	21095.0000	18875.0000	25231.0000	60188.0000	100373.0000	88673.0000	80724.0000	48665.0000	29076.0000	25464.0000	23739.0000
160.0000	20360.0000	18575.0000	23752.0000	52769.0000	82211.0000	70188.0000	69021.0000	44233.0000	28626.0000	25194.0000	23339.0000
161.0000	19953.0000	18342.0000	22358.0000	46039.0000	70839.0000	56817.0000	57535.0000	38334.0000	26950.0000	24287.0000	22438.0000
162.0000	19461.0000	18243.0000	21430.0000	39237.0000	55626.0000	48900.0000	48204.0000	33277.0000	25528.0000	23115.0000	21525.0000
163.0000	19231.0000	18162.0000	20588.0000	34050.0000	48640.0000	44635.0000	43327.0000	29851.0000	23832.0000	22053.0000	20686.0000
164.0000	19173.0000	18376.0000	20209.0000	29859.0000	41118.0000	44214.0000	39681.0000	28029.0000	23180.0000	21338.0000	20358.0000
165.0000	19524.0000	18714.0000	20314.0000	29039.0000	38684.0000	48637.0000	38726.0000	27734.0000	22654.0000	21119.0000	20175.0000
166.0000	19915.0000	19229.0000	20923.0000	30063.0000	41787.0000	59104.0000	41006.0000	28694.0000	22569.0000	21128.0000	20288.0000
167.0000	20517.0000	19776.0000	22240.0000	34633.0000	49222.0000	80155.0000	47554.0000	31619.0000	22894.0000	21342.0000	20650.0000
168.0000	20937.0000	20322.0000	23401.0000	43435.0000	67493.0000	102735.0000	60372.0000	35952.0000	23818.0000	21888.0000	21212.0000
169.0000	21492.0000	20554.0000	24721.0000	50957.0000	84359.0000	125338.0000	77410.0000	45923.0000	25451.0000	22812.0000	21807.0000
170.0000	21896.0000	20794.0000	25531.0000	58010.0000	100603.0000	136969.0000	95976.0000	56073.0000	27898.0000	23841.0000	22702.0000
171.0000	22214.0000	20810.0000	26252.0000	62033.0000	109324.0000	140511.0000	105800.0000	63973.0000	30508.0000	25068.0000	23701.0000
172.0000	22176.0000	20675.0000	26576.0000	65298.0000	115140.0000	137298.0000	111450.0000	67231.0000	32617.0000	26243.0000	24191.0000
173.0000	21896.0000	20248.0000	26292.0000	65122.0000	116804.0000	128710.0000	112439.0000	67561.0000	33495.0000	26752.0000	24249.0000
174.0000	21174.0000	19741.0000	25370.0000	62351.0000	110215.0000	113974.0000	108102.0000	65205.0000	33625.0000	26714.0000	24022.0000
175.0000	20517.0000	19102.0000	23823.0000	55929.0000	102335.0000	92589.0000	100361.0000	61283.0000	32824.0000	26261.0000	23518.0000
176.0000	19899.0000	18855.0000	22379.0000	45501.0000	80629.0000	71895.0000	83946.0000	54113.0000	31867.0000	25567.0000	23062.0000
177.0000	19624.0000	18632.0000	21051.0000	36815.0000	63402.0000	52937.0000	69386.0000	46413.0000	29849.0000	24826.0000	22358.0000
178.0000	19422.0000	18628.0000	20288.0000	30089.0000	45788.0000	42760.0000	51575.0000	38247.0000	28152.0000	23965.0000	21934.0000
179.0000	19390.0000	18674.0000	19994.0000	26412.0000	38046.0000	39320.0000	41914.0000	31948.0000	25897.0000	23092.0000	21396.0000
180.0000	19428.0000	18883.0000	19855.0000	25102.0000	33856.0000	40374.0000	38520.0000	30016.0000	24648.0000	22493.0000	21144.0000
181.0000	19659.0000	19196.0000	20030.0000	25006.0000	33425.0000	45804.0000	38434.0000	29710.0000	23937.0000	22167.0000	21063.0000
